stock,model,n,mse,mae,r2,qlike,r2_offset22
SH601888,examm_gs,417,0.1293462149391813,0.2324667838897205,0.5090832448247468,-6.680480803597106,
SH601899,examm_gs,413,0.1675263425696471,0.2744873571775289,0.318314499668557,-6.9544385125222785,
SH601901,examm_gs,415,0.1941165294099889,0.2993222316268754,0.3218369963876845,-6.738875552578201,
SH601933,examm_gs,417,0.1456969386721952,0.2542709307054302,0.2171465906819976,-7.0687754988433795,
SH601939,examm_gs,417,0.1503784287266014,0.2752638488686199,0.2020155231340668,-8.426290565152666,
SH601988,examm_gs,417,0.1870510894714913,0.3380706605933362,-0.0960811804679351,-8.952951799794471,
SH601998,examm_gs,417,0.1600071594531545,0.2911215983731846,0.2986174561030464,-8.225680597997135,
SH603993,examm_gs,417,0.1666867661797178,0.2806400372597243,0.2393212270839101,-6.7441096760258645,
SZ000001,examm_gs,417,0.0602294839258859,0.185095197875116,0.20733423783419,-7.260294967623982,
SZ000069,examm_gs,417,0.0676822960309976,0.2015898110019908,0.2544698775159749,-7.321659951133582,
SZ000157,examm_gs,417,0.067395225420186,0.1914387079442159,0.1211724141204825,-7.080698483206876,
SZ000166,examm_gs,417,0.1052879070671166,0.256145612005173,0.4392749073428907,-7.355047801463268,
SZ000333,examm_gs,406,0.0551809055662736,0.1802500356235104,0.2459790367049927,-7.353108690205591,
SZ000338,examm_gs,417,0.0595472170577594,0.1915345347123629,0.3090279223659151,-6.971533180341034,
SZ000425,examm_gs,417,0.0803489977908666,0.2111321994099493,0.2674014090701543,-6.92476522282482,
SZ000568,examm_gs,417,0.0722272144602134,0.2074205652598975,0.3230136519276915,-6.653860404547991,
SZ000625,examm_gs,417,0.0824303986594676,0.2195176245582177,-0.1278283700057494,-6.242803564198921,
SZ000709,examm_gs,417,0.0996420698856749,0.2516848080321893,0.3328652159022389,-8.054217407251347,
SZ000725,examm_gs,417,0.1013278651657257,0.2428088913429501,0.2377272715077567,-6.5576557353514735,
SZ000728,examm_gs,417,0.1149383762378762,0.2545067279499806,0.4758612070432076,-6.858639655820954,
SZ000768,examm_gs,417,0.0806924111555004,0.2223901266384737,0.5071250909027007,-7.018246628687789,
SZ000776,examm_gs,417,0.093968357593933,0.2375885704302518,0.4260781688444307,-7.299067497932298,
SZ000783,examm_gs,417,0.1103331655069312,0.2607654541420475,0.4787236386581007,-6.900115563570225,
SZ000858,examm_gs,417,0.0761749737162297,0.2106944322805401,0.3670731964825171,-6.844586445173353,
SZ000895,examm_gs,402,0.0712647978545888,0.211971584780201,0.3774912532498988,-6.727728201674308,
SZ000963,examm_gs,417,0.0893940645382059,0.2362109294462343,0.1817867417641135,-6.824541112228773,
SZ002007,examm_gs,417,0.0792116509380152,0.2182216212040072,0.3872879387482194,-6.441404897530901,
SZ002008,examm_gs,417,0.055627633331695,0.1906393965608433,0.0328868280603769,-6.491735809262082,
SZ002024,examm_gs,417,0.0984826961929219,0.2533072970152609,0.5379953291226025,-7.614500153535881,
SZ002142,examm_gs,417,0.0617703258932241,0.1815496767368769,0.2662289060602579,-7.072305173243359,
SZ002146,examm_gs,417,0.0602544149633104,0.1906839526480148,0.3745870747745979,-7.297707760542883,
