Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
143,690,12495,0.119821,0.0226777,7,8,2,0.027409,0.072370,0.022678,0.029576,0.022761,10000000.000000,0.024859,10000000.000000,0.025903,0.037157,0.033875,0.038257,0.030136,0.030997,0.029385,0.032096,0.025007,0.222611,0.024445,10000000.000000
145,700,12836,0.119821,0.0226777,7,8,2,0.027409,0.072370,0.022678,0.029576,0.022761,10000000.000000,0.024859,10000000.000000,0.025903,10000000.000000,0.033875,0.038257,0.030136,0.030997,0.029385,0.032096,0.025007,0.222611,0.024445,0.030130
147,710,13056,0.119821,0.0226777,7,8,2,0.027409,0.072370,0.022678,0.029576,0.022761,0.035372,0.024859,10000000.000000,0.025903,10000000.000000,0.033875,0.038257,0.030136,0.030997,0.029385,0.032096,0.025007,0.222611,0.024445,0.030130
149,720,13120,0.119821,0.0226777,7,8,2,0.027409,0.072370,0.022678,0.029576,0.022761,0.035372,0.024859,0.330476,0.025903,10000000.000000,0.033875,0.038257,0.030136,10000000.000000,0.029385,0.032096,0.025007,0.222611,0.024445,0.030130
151,730,13401,0.119821,0.0226777,7,8,2,0.027409,0.072370,0.022678,0.029576,0.022761,0.035372,0.024859,0.330476,0.025903,10000000.000000,0.033875,0.038257,0.030136,10000000.000000,0.029385,10000000.000000,0.025007,0.222611,0.024445,0.030130
153,740,13562,0.119821,0.0226777,7,8,2,0.027409,0.072370,0.022678,0.029576,0.022761,0.035372,0.024859,0.330476,0.025903,10000000.000000,0.033875,0.038257,0.030136,10000000.000000,0.029385,10000000.000000,0.025007,10000000.000000,0.024445,0.030130
155,750,13897,0.119821,0.0226777,7,8,2,0.027409,0.072370,0.022678,0.029576,0.022761,0.035372,0.024859,0.330476,0.025903,10000000.000000,0.033875,0.038257,0.030136,0.031342,0.029385,10000000.000000,0.025007,10000000.000000,0.024445,10000000.000000
157,760,13914,0.119821,0.0226777,7,8,2,0.027409,10000000.000000,0.022678,0.029576,0.022761,0.035372,0.024859,0.330476,0.025903,10000000.000000,0.033875,0.038257,0.030136,0.031342,0.029385,0.077552,0.025007,10000000.000000,0.024445,10000000.000000
159,770,14209,0.119821,0.0226777,7,8,2,0.027409,10000000.000000,0.022678,10000000.000000,0.022761,0.035372,0.024859,0.330476,0.024911,0.037157,0.033875,0.038257,0.030136,0.031342,0.029385,0.077552,0.025007,10000000.000000,0.024445,10000000.000000
161,780,14263,0.119821,0.0226777,7,8,2,0.027409,10000000.000000,0.022678,10000000.000000,0.022761,0.035372,0.024859,0.330476,0.024911,0.037157,0.033875,0.038257,0.030136,0.031342,0.029385,0.077552,0.025007,0.223453,0.024445,10000000.000000
