stock,model,n,mse,mae,r2,qlike
SH601688,lstm32_raw,417,0.1586411188002727,0.2587576160328632,0.30081881207821104,-7.179065142940794
SH601766,lstm32_raw,417,0.13313001487581813,0.24828356232167706,0.30410036939991525,-8.17632321543361
SH601800,lstm32_raw,417,0.1849004935390511,0.2883626215353633,0.2523236129275931,-7.468590562209906
SH601818,lstm32_raw,417,0.14559049312232042,0.2557982548629861,0.26923101980421216,-7.8719173253275345
SH601857,lstm32_raw,417,0.13931011559849452,0.25324196982376573,0.0652646870969098,-8.833391232221162
SH601888,lstm32_raw,417,0.12711136525064526,0.2246693978148274,0.5175653264837763,-6.760238057846775
SH601899,lstm32_raw,413,0.17250407826277753,0.2670557063506258,0.29805947473074157,-7.029596646468654
SH601901,lstm32_raw,415,0.2004321622591576,0.288482528206254,0.29977278291898635,-6.89994497429516
SH601933,lstm32_raw,417,0.16487117097515752,0.25718195198988314,0.11412031390344468,-7.04763370511922
SH601939,lstm32_raw,417,0.14579734504390282,0.2531899610414066,0.22632508466475354,-8.38491820142895
SH601988,lstm32_raw,417,0.14527355449650617,0.2736830594117364,0.148726641725484,-8.980841550189348
SH601998,lstm32_raw,417,0.1559883590171816,0.2728352756314877,0.3162336457962466,-8.202236690659014
SH603993,lstm32_raw,417,0.1562752584729007,0.267964041278398,0.28683437457690986,-7.005866518132646
SZ000001,lstm32_raw,417,0.06329770013157787,0.18752442791211926,0.16695418177780774,-7.252147206968287
SZ000069,lstm32_raw,417,0.056150717958154676,0.18932241065657077,0.3814918510191101,-7.373581691950706
SZ000157,lstm32_raw,417,0.053676802391721054,0.1831525590564827,0.30005939783504154,-7.196234461576319
SZ000166,lstm32_raw,417,0.09500102490862189,0.2456426994897242,0.4940590996794123,-7.419963548273631
SZ000333,lstm32_raw,406,0.055034837302680946,0.18217287498320323,0.247974990408375,-7.359416610293452
SZ000338,lstm32_raw,417,0.056465003494330125,0.18950923137991896,0.34479321274999664,-6.987226895235041
SZ000425,lstm32_raw,417,0.06986679285919123,0.20756196107546876,0.3629750786107617,-7.034373715832834
SZ000568,lstm32_raw,417,0.06553087292136599,0.2074513174069441,0.3857785230044576,-6.743402300103394
SZ000625,lstm32_raw,417,0.07683636256176413,0.21773264810771673,-0.05128970567282387,-6.334490337407637
SZ000709,lstm32_raw,417,0.09385089331635475,0.24907476392211578,0.37163895208293274,-8.075555944391162
SZ000725,lstm32_raw,417,0.092300201535192,0.23640662115502056,0.30564088812547685,-6.694814644198462
SZ000728,lstm32_raw,417,0.09941946413073367,0.24078872574617421,0.5466301192732361,-6.9558533778178235
SZ000768,lstm32_raw,417,0.06895207808774001,0.20250952097738362,0.5788358690376285,-7.056273872841131
SZ000776,lstm32_raw,417,0.08424421614025017,0.22706894749177337,0.48546940662289917,-7.362530145070912
SZ000783,lstm32_raw,417,0.09425870941685466,0.2415638774439084,0.5546684730393718,-7.02305621200194
SZ000858,lstm32_raw,417,0.06900243215020849,0.20944330651573986,0.426668803609204,-6.945032543307933
SZ000895,lstm32_raw,402,0.07021714903981345,0.207851988374624,0.3866426234965499,-6.729884653774247
SZ000963,lstm32_raw,417,0.09180538508253214,0.2402524159409833,0.1597162111375412,-6.825730195808876
SZ002007,lstm32_raw,417,0.07701665019492558,0.22093139108610915,0.40426654497371106,-6.459486495792009
SZ002008,lstm32_raw,417,0.05702754489235116,0.19277119514139898,0.00854869197991015,-6.492987190475941
SZ002024,lstm32_raw,417,0.0912779903834143,0.24072926989242566,0.5717942386261514,-7.64220418600846
SZ002142,lstm32_raw,417,0.06110280843725026,0.1826627391395286,0.2741583609694085,-7.076350371975665
SZ002146,lstm32_raw,417,0.057796780192250645,0.18846210852401513,0.4000961856379279,-7.309927473266627
SZ002153,lstm32_raw,417,0.06965755874358005,0.206237529398223,0.11135724882147058,-6.403500408378433
SZ002202,lstm32_raw,411,0.061656133562481716,0.20028784426132445,0.2599542606252274,-6.9025635718528875
SZ002236,lstm32_raw,415,0.07058925066870808,0.21621274078549205,0.12798297565283978,-6.589058570490724
SZ002241,lstm32_raw,417,0.056197117926386854,0.19278412622259233,0.28905033995699725,-5.994959404930496
SZ002304,lstm32_raw,417,0.07280128892809494,0.21258469855640105,0.35616542946434926,-7.00898308416458
SZ002415,lstm32_raw,415,0.05583142719444497,0.18725439124817964,0.1293559251049875,-6.923960897038697
SZ002456,lstm32_raw,414,0.16152071674598584,0.23980339563013098,0.10150766495575225,-6.074153365324736
SZ002475,lstm32_raw,417,0.04834815683893378,0.17907514468339433,0.1050813288568967,-6.28887817392214
SZ002594,lstm32_raw,417,0.0711099859847041,0.21443235149007533,0.5792297423927243,-6.886841192765641
SZ002673,lstm32_raw,417,0.10382648758793502,0.2509736937367051,0.5606207482971797,-7.0489266104382935
SZ300124,lstm32_raw,406,0.05028159254277804,0.17554357862401246,0.37177945038358806,-6.731091075977505
SH600000,gru32_raw,417,0.1345635742217124,0.24067875220590468,0.20646602651767665,-8.108179169520545
SH600009,gru32_raw,417,0.13164265048210363,0.24049762800930582,0.25008055456981726,-7.1567718307738675
SH600010,gru32_raw,417,0.16310554996369572,0.27714782631225804,0.19983618996447372,-7.344921596020088
SH600015,gru32_raw,417,0.15639287595139112,0.2783954691598682,0.2070411811473971,-8.705390198886667
SH600016,gru32_raw,417,0.14747214261957256,0.26414646887832893,0.15898293577352984,-8.797809389783392
SH600018,gru32_raw,414,0.14865253901885042,0.2776650743998344,0.5156138569639976,-7.4041051539602885
SH600028,gru32_raw,417,0.13919219759487247,0.24950109236952728,0.18775460142458555,-8.729312615163659
SH600029,gru32_raw,417,0.1591018176003359,0.27670304060962914,0.19549246246937801,-7.34045492044865
SH600030,gru32_raw,410,0.17824386174982224,0.2808345319212714,0.30467456387673353,-7.167100867282957
SH600031,gru32_raw,417,0.13523849851381903,0.21810109541638403,0.19172784691294442,-6.873527477836078
SH600036,gru32_raw,417,0.12660338201466023,0.22066653965921443,0.1517064695791438,-7.623910015364864
SH600038,gru32_raw,417,0.13561092506890596,0.23748229314093136,0.4023018716131528,-7.030693792105429
SH600048,gru32_raw,417,0.13182281895791906,0.22703233620159347,0.1250473868873606,-7.084691411014217
SH600066,gru32_raw,417,0.14545508531053516,0.2629885752355709,0.385674202057977,-6.8939437702294954
SH600068,gru32_raw,417,0.16069980470190615,0.2672993678327567,0.3401427265328171,-7.575685651767856
SH600085,gru32_raw,417,0.16930245537636618,0.2775807072352778,0.2562609320895003,-7.551195168817814
SH600089,gru32_raw,417,0.1351843434834263,0.2577361920171164,0.6623796003427488,-7.620691648801078
SH600104,gru32_raw,417,0.12987890784920889,0.25032597418836355,0.30849523135211443,-7.382793105358643
SH600109,gru32_raw,412,0.16457762224898062,0.27373195205418505,0.43973757341923503,-6.866619127751638
SH600111,gru32_raw,414,0.16604406213776446,0.26383194806201454,0.34323923222591757,-6.918003024552487
SH600115,gru32_raw,416,0.17178336471308803,0.28618709981875734,0.26111387652443196,-7.2694526192669695
SH600118,gru32_raw,417,0.11908859258622673,0.23611684459462343,0.6017499908165718,-6.705153327047613
SH600170,gru32_raw,417,0.13779033195020543,0.25709182319177004,0.3963946820461931,-8.089560211571932
SH600177,gru32_raw,417,0.17657061559356005,0.3109366211658976,0.21903300572461026,-8.060582826614962
SH600188,gru32_raw,417,0.15424522042422184,0.25465766389114336,0.10541688442419517,-7.485604310860721
SH600196,gru32_raw,417,0.15375759772636913,0.26068083129674885,0.4265942272819946,-6.725723037512739
SH600208,gru32_raw,416,0.2924745496125403,0.3101889007452044,0.22710968274999632,-6.963123126770033
SH600276,gru32_raw,417,0.11544794309540281,0.22109258540175486,0.14295215998922806,-7.159672828996978
SH600332,gru32_raw,417,0.13942743237664482,0.23314029652010756,0.30311139671508847,-7.23507288498788
SH600340,gru32_raw,417,0.12203041791148787,0.21681605959075556,0.35860501213123164,-7.301367225190331
SH600352,gru32_raw,413,0.14279686809553108,0.24429954377356772,0.455068789537987,-7.112124441908388
SH600362,gru32_raw,417,0.16717548172788388,0.2670610547606519,0.25158951745987235,-7.456344733663591
SH600369,gru32_raw,417,0.19221429559321582,0.29770457013699825,0.3451150507579718,-6.936859349757498
SH600372,gru32_raw,417,0.15201612223101726,0.25441584414822915,0.3500745889740037,-7.002183528205975
SH600383,gru32_raw,417,0.13349562236817863,0.22323052826159168,0.17541804628114166,-6.842981121948086
SH600489,gru32_raw,416,0.14893283636585677,0.2724056002042794,0.13771333381258444,-7.226279935969329
SH600519,gru32_raw,417,0.12476456721488614,0.2245968773924614,0.20505976740108578,-7.54601651657346
SH600547,gru32_raw,417,0.15067063737709416,0.25503743199583484,0.12237061061438903,-7.07799774227187
SH600570,gru32_raw,416,0.13570840723514005,0.24515758945801558,0.2637020696822051,-6.634972310671478
SH600583,gru32_raw,417,0.12999796758756013,0.223608223869595,0.1665200326358669,-7.221108987947641
SH600585,gru32_raw,417,0.1345373496155094,0.21801584791490727,0.14060814537873734,-7.3115845099766315
SH600588,gru32_raw,417,0.13610786814374998,0.2381487296237659,0.33106533004943683,-6.274999619842105
SH600637,gru32_raw,417,0.13667445034979891,0.2531555120180592,0.34911997951179286,-7.424935681225317
SH600660,gru32_raw,417,0.14937384830919423,0.24712200119508215,0.35896054366075036,-7.369800819342511
SH600674,gru32_raw,417,0.11340712294484727,0.22655258285476118,0.028902575182191748,-8.098608187133678
SH600703,gru32_raw,415,0.1410780261823868,0.25150860174894135,0.1101211656784491,-6.025850004622761
SH600705,gru32_raw,417,0.15656629625565416,0.26551059108418346,0.4335939577257416,-7.240351996429197
SH600741,gru32_raw,417,0.12611920474289742,0.22078297888672097,0.17414336019032228,-6.656681020305999
SH600837,gru32_raw,417,0.1661374484877344,0.2758874341752733,0.33838841994741087,-7.022654490031591
SH600886,gru32_raw,417,0.11703958031560678,0.21956305965004216,0.06808079048296789,-7.644033482788496
