stock,n,HAR_mse,HAR_mae,HAR_r2,HAR_ql,LSTM-32_ens_mse,LSTM-32_ens_mae,LSTM-32_ens_r2,LSTM-32_ens_ql,GRU-32_ens_mse,GRU-32_ens_mae,GRU-32_ens_r2,GRU-32_ens_ql,LSTM-4_ens_mse,LSTM-4_ens_mae,LSTM-4_ens_r2,LSTM-4_ens_ql,LSTM-32_1_mse,LSTM-32_1_mae,LSTM-32_1_r2,LSTM-32_1_ql,GRU-32_1_mse,GRU-32_1_mae,GRU-32_1_r2,GRU-32_1_ql,LSTM-4_1_mse,LSTM-4_1_mae,LSTM-4_1_r2,LSTM-4_1_ql
SH601111,394,0.17240329910857444,0.2804400799064738,0.08779896658815978,-6.953435826915046,0.17814362135197873,0.28607094619518636,0.05742641623891931,-7.105795824992449,0.18229675489441174,0.29007377578102594,0.03545182103747302,-7.095527897159056,0.1760257685272654,0.28596640636172316,0.06863216198338462,-7.100421855409286,0.17906694290356875,0.2877430290280673,0.05254104062321585,-7.104265831017185,0.1852356717902373,0.29122855156351557,0.019901753008929934,-7.098924669743299,0.1793119265216693,0.28835916622915037,0.051244810732281154,-7.0961545371838
SH601166,395,0.15139642098349154,0.26768175138877465,0.09626699731420962,-7.82334772603301,0.15836771578768669,0.26951660925445026,0.05465313917227821,-7.883843651402905,0.15354225569766217,0.26547503243866133,0.08345783289072384,-7.884427234664451,0.1497925369875155,0.2619403402821099,0.10584108691439353,-7.89660509433411,0.16075625122867224,0.27432200108143445,0.04039521753793074,-7.8756064299716355,0.15397477751177974,0.2630862274738823,0.08087597372086786,-7.884011203903853,0.1511472230088666,0.26166319475937594,0.09775453864714223,-7.890073002231968
SH601169,395,0.14012178775060175,0.2617742542772196,0.1785718337159915,-8.576580175432943,0.14886720083220858,0.27091197919594734,0.1273040848074023,-8.621335444381243,0.14298560754965878,0.2607260276984959,0.16178342212154162,-8.634006725527845,0.15555990372948844,0.27564168765181385,0.0880698246923286,-8.644465144795031,0.15049418510315352,0.27274718416049293,0.11776630536774846,-8.617184758476583,0.14170758480165496,0.25693319658624203,0.16927550382571266,-8.631637072706434,0.15501607599443765,0.27347983103142454,0.09125787578950884,-8.633254010924828
SH601186,395,0.15881054920983798,0.27027568311634736,0.2664026756172573,-7.508122843689468,0.16743800749722684,0.2704439430296342,0.2265496535898004,-7.573364506743921,0.1611358455232747,0.265914202030878,0.25566137938459754,-7.577103814851767,0.15781526210192473,0.2649379785307547,0.27100022888428266,-7.5925732069194725,0.17010711456496783,0.27539076108244304,0.21422018421180167,-7.56560783917385,0.16304018291104633,0.26569886976543183,0.2468646286690932,-7.574217303619692,0.16172792277926729,0.26555288137556293,0.25292638291877634,-7.582439765633804
SH601225,395,0.1576258368969549,0.2621170675284293,0.11826942120882245,-7.2423431968951215,0.16263395360246446,0.2709139352670743,0.09025491718884071,-7.442852243355481,0.1599860623523354,0.27009919718622977,0.10506674455492593,-7.454010362711398,0.15750759603715514,0.2688035407759231,0.11893083931007031,-7.465051219797032,0.16460590220789198,0.27365875055732997,0.07922419139262038,-7.428019815480748,0.15807559563007134,0.26715603662738624,0.1157535517557301,-7.47473307012965,0.16160786776312935,0.2723407114684613,0.09599465680778296,-7.461531043804823
SH601288,395,0.13914806794492796,0.2557067472454697,0.09148923567115663,-8.943538337567743,0.1522431168720508,0.27399750453040594,0.005990435109925807,-8.98285042791669,0.1477585623197373,0.26627027551139254,0.03527051167993789,-8.996287021591229,0.18352378888318913,0.31563334121661313,-0.19824400132369213,-8.974384577753437,0.1550555235074726,0.2779150716819996,-0.012372031144092244,-8.976924853221602,0.14415541015091843,0.2578163815719197,0.05879582956061702,-8.99713085653059,0.17977074147798042,0.30970574841901605,-0.17374000340962814,-8.970752427022253
SH601318,395,0.12793533864544643,0.2283404504178138,0.32174721626940583,-7.794253884557774,0.1309337168458114,0.23390582172268512,0.30585123019857796,-7.895863476553854,0.12492473387815403,0.22270927583541528,0.33770802182749815,-7.898707206695133,0.12730558230192876,0.22441936353948674,0.32508588717601594,-7.907417045962926,0.1323781153087312,0.23472294147859235,0.29819371126233973,-7.88689449932239,0.12410724274797294,0.22092481332861544,0.3420419739676259,-7.899026570820545,0.12667274274577794,0.22497385286387483,0.32844090382082003,-7.904158359731378
SH601328,395,0.15190526840138888,0.2838217280211935,0.3106992744056537,-8.858907624173819,0.17736218480171387,0.3086507001920176,0.1951833931541106,-8.88892221772985,0.16876766688829373,0.2985854982262324,0.23418274779268833,-8.901023744568715,0.21376728064106573,0.35133030794455555,0.029987944428202407,-8.872598858221604,0.18177511860323634,0.3146063690559986,0.17515881794746524,-8.879662437878308,0.16619828377568346,0.2933865000405705,0.24584184074246207,-8.899822487255735,0.21405836656521843,0.35041542129202385,0.028667083467682097,-8.864643564744048
SH601336,395,0.15331477220754394,0.25475746182474424,0.38321004713123663,-7.013392301501295,0.15907426823586096,0.25929379327959956,0.3600394208914861,-7.130483008207054,0.1562225974918985,0.2561919527801378,0.3715117783064964,-7.13092726902443,0.15819232768762792,0.25838830188881867,0.363587494318105,-7.132767669165611,0.15937312676693474,0.2589823732703712,0.3588371040068099,-7.122469009708019,0.1562996858282744,0.25477039198623064,0.37120164960411905,-7.141358851249164,0.16194227271841838,0.26227853225889236,0.34850135235345037,-7.131097949499143
SH601377,395,0.2093959507313119,0.30843201725869324,0.2994527837277635,-6.725983015969631,0.2036166671737505,0.30428948352978735,0.3187877374083753,-6.9711175518883985,0.20502808672597067,0.3041078347618823,0.31406574524545705,-6.964045560122424,0.20140810108852766,0.3008458625501888,0.3261766330271899,-6.9733375316763055,0.20986122156986603,0.31106127511531945,0.2978961911116056,-6.953397227326469,0.2056192296421102,0.30437813752124393,0.312088039741247,-6.970900724731467,0.20410381893107493,0.3046481475393409,0.31715794081343696,-6.959719007047411
