stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH601328,har,0.23308064507962384,0.2815700180195516,0.32697320985097367,-0.740136323792204,,,,,,,,,
SH601328,har_x,,,,,,,,,,,,,
SH601328,ewma,,,,,-1.623378610383184,0.6861308296515134,True,,,,,,
SH601328,garch,,,,,-1.0088536202455762,0.837290151781538,True,0.9884154074227276,0.009968183136774052,,,,
SH601328,egarch,,,,,-1.178291063412702,0.7985391342124238,True,0.9943993363658761,0.00981741292807603,,,,
SH601601,naive,,,,,,,,,,,,,
SH601601,har,0.17574871621526747,0.12900392913326483,0.558401750266186,-0.5810692682784744,,,,,,,,,
SH601601,har_x,,,,,,,,,,,,,
SH601601,ewma,,,,,-1.0589742340568096,0.7796388076362166,True,,,,,,
SH601601,garch,,,,,-0.6818336448484613,0.8820287421097411,True,0.996118624745904,0.019414532889141155,,,,
SH601601,egarch,,,,,-0.635433712357346,0.8940903015863619,True,0.9931216198717125,0.02011188833604421,,,,
SH601607,naive,,,,,,,,,,,,,
SH601607,har,0.15951245982053758,0.3642754945557933,0.3491238281364336,-0.5307102117401654,,,,,,,,,
SH601607,har_x,,,,,,,,,,,,,
SH601607,ewma,,,,,-1.395617019069759,0.6954189004167689,True,,,,,,
SH601607,garch,,,,,-1.023921335300035,0.7950984297604995,True,0.9933016185773729,0.016955639509997143,,,,
SH601607,egarch,,,,,-0.9429820795278981,0.8167704844761191,True,0.9932397793408267,0.017530790951837953,,,,
SH601628,naive,,,,,,,,,,,,,
SH601628,har,0.137853249868108,0.3551040783130051,0.32253497408577125,-0.7700746672866635,,,,,,,,,
SH601628,har_x,,,,,,,,,,,,,
SH601628,ewma,,,,,-0.9927819397749984,0.798099319660007,True,,,,,,
SH601628,garch,,,,,-0.045755219352719714,1.0515099170680469,True,0.9873308384934395,0.02036103451631698,,,,
SH601628,egarch,,,,,0.1476686033186998,1.1038859317398513,True,0.979649497352532,0.020804282652446496,,,,
SH601857,naive,,,,,,,,,,,,,
SH601857,har,0.13293738576002573,0.5054505843898894,0.254792989729015,-0.5039790879888641,,,,,,,,,
SH601857,har_x,,,,,,,,,,,,,
SH601857,ewma,,,,,-1.0243039370269993,0.8211475116647446,True,,,,,,
SH601857,garch,,,,,-0.6156099313951223,0.9219446458006998,True,0.9950408087399166,0.01012062891440819,,,,
SH601857,egarch,,,,,-0.6747677527279661,0.9095946216893324,True,0.9942497740116957,0.010337591736385378,,,,
SH601939,naive,,,,,,,,,,,,,
SH601939,har,0.18711348351482932,0.3226394879873197,0.31930164615668066,-0.7848558107733467,,,,,,,,,
SH601939,har_x,,,,,,,,,,,,,
SH601939,ewma,,,,,-1.6186693337538887,0.6834101094729222,True,,,,,,
SH601939,garch,,,,,-1.1423229039963003,0.8008863734298972,True,0.9915946048271759,0.011837767848279916,,,,
SH601939,egarch,,,,,-1.290155496747945,0.7660836450220704,True,0.998610631226323,0.01144541618949232,,,,
SH601988,naive,,,,,,,,,,,,,
SH601988,har,0.21461939318041123,0.3070010047665086,0.31554574706842903,-0.7695273745946725,,,,,,,,,
SH601988,har_x,,,,,,,,,,,,,
SH601988,ewma,,,,,-1.5659257977036476,0.7024042691002119,True,,,,,,
SH601988,garch,,,,,-1.1914504136073072,0.7927756826650695,True,0.9972398419499853,0.009337588935663707,,,,
SH601988,egarch,,,,,-1.2133470474993069,0.7869017091847149,True,0.9968917342117045,0.009287899644533219,,,,
SZ002008,naive,,,,,,,,,,,,,
SZ002008,har,0.08577391570873714,0.4040725918990653,0.4047027796735933,-0.40591230300323944,,,,,,,,,
SZ002008,har_x,,,,,,,,,,,,,
SZ002008,ewma,,,,,-0.9980694206306274,0.7879012092035952,True,,,,,,
SZ002008,garch,,,,,-0.45280871222601565,0.9535795701812443,True,0.9914597802451219,0.0273645616596601,,,,
SZ002008,egarch,,,,,-0.4122532017918424,0.9658644765451271,True,0.9859891609366049,0.028544528307955033,,,,
