stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,error,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600030,garch,,,,,0.16871893828312218,1.1400085265058528,True,0.978606320273199,0.024792914629007286,,,,,
SH600030,egarch,,,,,0.16400774720050276,1.1408920464925778,True,0.9780862912098104,0.024987608616619444,,,,,
SH600031,naive,,,,,,,,,,,,,,
SH600031,har,0.09031906333901325,0.4041169324088697,0.3501287501115109,-0.6103035926844694,,,,,,,,,,
SH600031,har_x,,,,,,,,,,,,,,
SH600031,ewma,,,,,-1.0332788344065775,0.7890406890339524,True,,,,,,,
SH600031,garch,,,,,-0.30525151313833426,1.0017075371496311,True,0.9891118352786512,0.024568242751549438,,,,,
SH600031,egarch,,,,,-0.2541019471404441,1.0172163795785436,True,0.9820907047701981,0.024759638382110802,,,,,
SH600036,naive,,,,,,,,,,,,,,
SH600036,har,0.084821727011732,0.4241566142891254,0.36428505673300227,-0.5286998368747551,,,,,,,,,,
SH600036,har_x,,,,,,,,,,,,,,
SH600036,ewma,,,,,-0.8940111665991491,0.8267611469553796,True,,,,,,,
SH600036,garch,,,,,-0.34380437909734657,0.978358821125609,True,0.993883570926431,0.01826957162240311,,,,,
SH600036,egarch,,,,,-0.2507541405132699,1.0057228053847813,True,0.9844192641228736,0.018533837507144338,,,,,
SH600037,naive,,,,,,,,,,,,,,
SH600037,har,0.0979338147824667,0.39250606776532737,0.38641027015416396,-0.4802807718248572,,,,,,,,,,
SH600037,har_x,,,,,,,,,,,,,,
SH600037,ewma,,,,,-0.6233711433806789,0.8837738656780122,True,,,,,,,
SH600037,garch,,,,,0.002205419199280905,1.0637659655618754,True,0.993965130149758,0.022747757181362648,,,,,
SH600037,egarch,,,,,0.00317439000665576,1.0657802920889923,True,0.9937800075340927,0.022724587697582295,,,,,
SH600048,naive,,,,,,,,,,,,,,
SH600048,har,0.07937595019855154,0.4842163699778971,0.2661847095442498,-0.6366431728761197,,,,,,,,,,
SH600048,har_x,,,,,,,,,,,,,,
SH600048,ewma,,,,,-0.8472384478686753,0.8117662116128815,True,,,,,,,
SH600048,garch,,,,,-0.002299190426355145,1.0622177740243477,True,0.9887237988638207,0.026777721402188485,,,,,
SH600048,egarch,,,,,-0.06296536309523275,1.0463119479352874,True,0.9854093311938139,0.026642144566691336,,,,,
SH600050,naive,,,,,,,,,,,,,,
SH600050,har,0.1410907350772814,0.3071482739778594,0.4184707436601078,-0.5480899380345607,,,,,,,,,,
SH600050,har_x,,,,,,,,,,,,,,
SH600050,ewma,,,,,-0.9221211643424683,0.8102619976231027,True,,,,,,,
SH600050,garch,,,,,-0.29968488821601846,0.9805269236562527,True,0.9895171227111889,0.01924278645146811,,,,,
SH600050,egarch,,,,,-0.3313964262467065,0.9735666137256762,True,0.9926558475010553,0.019449132780103268,,,,,
SH600060,naive,,,,,,,,,,,,,,
SH600060,har,0.18922686456586674,0.019050002123147905,0.6499774545421532,-0.5478487022079479,,,,,,,,,,
SH600060,har_x,,,,,,,,,,,,,,
SH600060,ewma,,,,,-0.9845486891210661,0.7990467375899221,True,,,,,,,
SH600060,garch,,,,,-0.2854956903917351,1.013324427458782,True,0.9824041136178259,0.023411893016866258,,,,,
